Name,original_title,genre,year,origin country,Archive Link,IMDB Link,Case type,Material period from,Material period up to,Description,File number to quote,Creating body position,Subjects,Bodies,Place,Events,Persons
סינבד והנסיכה,The 7th Voyage of Sinbad,"Action, Adventure, Family, Fantasy",1958,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807ef686,https://www.imdb.com/title/tt0051337,תיק מסמכים,16/11/1959,19/03/1961," בקשת ""אלברט ד' מטלון ושות'"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""סינבד והנסיכה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d6ev," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
ורטיגו,Vertigo,"Mystery, Romance, Thriller",1958,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807de72b,https://www.imdb.com/title/tt0052357,תיק מסמכים,02/11/1958,05/02/1959," בקשת ""חברת פאראמונט לפילמים בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""ורטיגו"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000czqv," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הפרופסור המטורף,The Nutty Professor,"Comedy, Romance, Sci-Fi",1963,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807f6afe,https://www.imdb.com/title/tt0057372,תיק מסמכים,15/09/1963,22/09/1963," בקשת ""פאראמונט"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הפרופסור המטורף"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d9a7," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מבצע קהיר,Einer spielt falsch,Drama,1966,"Israel, West Germany",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680791123,https://www.imdb.com/title/tt0061123,תיק מסמכים,20/01/1966,02/02/1966," בקשת ""סרטי ""גלובס"" בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מבצע קהיר"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000c5e8," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
39 המדרגות,The 39 Steps,"Crime, Mystery, Thriller",1935,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807a00fb,https://www.imdb.com/title/tt0026029,תיק מסמכים,15/08/1960,25/10/1960," בקשת ""יאירפילם"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""39 המדרגות"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cbbl," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
היום הארוך ביותר,The Longest Day,"Action, Drama, History, War",1962,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807a3fbb,https://www.imdb.com/title/tt0056197,תיק מסמכים,18/10/1962,26/10/1962," בקשת ""טוונטיס סנטורי פוקס"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""היום הארוך ביותר"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ccvd," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
כוכב הקופים,Planet of the Apes,"Adventure, Sci-Fi",1968,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d9669,https://www.imdb.com/title/tt0063442,תיק מסמכים,22/02/1968,26/03/1968," בקשת ""טוונטיס סנטורי פוקס"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""כוכב הקופים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cxr4," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מות הזמיר,To Kill a Mockingbird,"Crime, Drama",1962,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d4e05,https://www.imdb.com/title/tt0056592,תיק מסמכים,02/05/1963,19/11/1963," בקשת דוד מלאך מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מות הזמיר"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cvyk," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
עד ראיה,Tiger Bay,"Crime, Drama, Thriller",1959,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807e36c7,https://www.imdb.com/title/tt0053361,תיק מסמכים,15/11/1959,13/02/1960," בקשת ""יאירפילם"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""עד ראיה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן.
 ",ISA-MOIN-InteriorFilmCensor-000d1ob," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הבוגר,The Graduate,"Comedy, Drama, Romance",1967,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680807346,https://www.imdb.com/title/tt0061722,תיק מסמכים,28/04/1968,05/10/1969," בקשת ""יוניטד ארטיסטס אוף ישראל אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הבוגר"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dfpj," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
בוליט,Bullitt,"Action, Crime, Thriller",1968,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807e20e9,https://www.imdb.com/title/tt0062765,תיק מסמכים,25/12/1968,14/01/1969," בקשת ""וורנר ברוס- סבן ארטס אינק"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""בוליט"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d150," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מבצע תחתונית,Operation Petticoat,"Comedy, Romance, War",1959,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807ef7c3,https://www.imdb.com/title/tt0053143,תיק מסמכים,13/12/1959,30/12/1959," בקשת דוד מלאך מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מבצע תחתונית"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d6fw," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
כיצד לגנוב מיליון,How to Steal a Million,"Comedy, Crime, Romance",1966,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807e45c0,https://www.imdb.com/title/tt0060522,תיק מסמכים,01/09/1966,21/09/1966," בקשת ""טוונטיס סנטורי פוקס"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""כיצד לגנוב מליון"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d21m," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
אנה קרנינה,Anna Karenina,"Drama, Romance",1935,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807dd1e4,https://www.imdb.com/title/tt0026071,תיק מסמכים,25/01/1956,26/04/1956," בקשת ""מטרו-גולדוין-מאיר"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""אנה קרנינה"" בישראל: הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרשיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cz7s," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מחר אזיל דמעה,I'll Cry Tomorrow,"Biography, Drama, Music",1955,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807f1ea7,https://www.imdb.com/title/tt0048191,תיק מסמכים,08/04/1956,03/09/1956," בקשת ""מטרו- גולדוין- מאיר"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מחר אזיל דמעה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרשיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d7ed," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
עולם הקרקס,Circus World,"Drama, Western",1964,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807efd11,https://www.imdb.com/title/tt0057952,תיק מסמכים,07/05/1965,01/11/1973," בקשת ""סרטי חן בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""עולם הקרקס"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d6kk," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מקום בצמרת,Room at the Top,"Drama, Romance",1959,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068079d654,https://www.imdb.com/title/tt0053226,תיק מסמכים,24/06/1959,27/08/1959," בקשת ""ליאון- פילם בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מקום בצמרת"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ca9k," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
התמימים,The Innocents,Horror,1961,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807ad6bd,https://www.imdb.com/title/tt0055018,תיק מסמכים,10/01/1962,05/02/1962," בקשת ""טוונטיס סנטורי פוקס"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""התמימים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cglx," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
אנסטסיה,Anastasia,"Biography, Drama, History, Romance",1956,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807a8cf4,https://www.imdb.com/title/tt0048947,תיק מסמכים,09/01/1957,13/02/1957," בקשת ""טוונטיס סנטורי פוקס אימפורט קורפוריישן"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""אנסטסיה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cerz," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
קליאופטרה,Cleopatra,"Biography, Drama, History, Romance",1963,"Switzerland, United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680806ee8,https://www.imdb.com/title/tt0056937,תיק מסמכים,17/10/1963,02/01/1964," בקשת ""טוונטיס סנטוי פוקס"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""קליאופטרה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dflp," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הפרס הגדול,Grand Prix,"Drama, Sport",1966,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068079120f,https://www.imdb.com/title/tt0060472,תיק מסמכים,26/03/1967,17/05/1967," בקשת ""יצפילם"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הפרס הגדול"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000c5ey," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
גיבורי טלמרק,The Heroes of Telemark,"Action, Drama, History, War",1965,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807a4237,https://www.imdb.com/title/tt0059263,תיק מסמכים,23/01/1966,27/05/1971," בקשת ""שבעה כוכבים בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""גבורי טלמרק"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ccxh," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
חיקוי לחיים,Imitation of Life,Drama,1959,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068078b93d,https://www.imdb.com/title/tt0052918,תיק מסמכים,26/03/1959,17/09/1959," בקשת ""אוניברסל אינטרנציונאל פילם"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""חיקוי לחיים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000c37k," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
לוליטה,Lolita,"Crime, Drama, Romance",1962,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807f6975,https://www.imdb.com/title/tt0056193,תיק מסמכים,05/08/1962,21/08/1962," בקשת ""טוונטיס סנטורי פוקס"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""לוליטה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d990," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
אמיל והבלשים,Emil and the Detectives,"Comedy, Family, Drama, Crime",1964,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068080d10a,https://www.imdb.com/title/tt0058056,תיק מסמכים,18/07/1965,01/08/1965," בקשת ""פורום פילם בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""אמיל והלשים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000di2h," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מזימות בינלאומיות,North by Northwest,"Adventure, Mystery, Thriller",1959,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807b5a33,https://www.imdb.com/title/tt0053125,תיק מסמכים,25/08/1959,18/09/1959," בקשת ""מטרו- גולדוין- מאיר"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מזימות בינלאומיות"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cjpr," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
שלמה ומלכת שבא,Solomon and Sheba,"Drama, History, Romance, War",1959,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807ef811,https://www.imdb.com/title/tt0053290,תיק מסמכים,08/12/1959,07/02/1960," בקשת ""יוניטד ארטיסטס"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""שלמה ומלכת שבא"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d6g4," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
ספרטקוס,Spartacus,"Adventure, Biography, Drama, History, War",1960,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807ef8b7,https://www.imdb.com/title/tt0054331,תיק מסמכים,26/03/1961,18/04/1961," בקשת דוד מלאך מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""ספרטקוס"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d6gu," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
פרנהייט 451,Fahrenheit 451,"Drama, Sci-Fi",1966,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680807117,https://www.imdb.com/title/tt0060390,תיק מסמכים,01/12/1966,03/01/1967," בקשת דוד מלאך מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""פרנהייט 451"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dfnm," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
תמימים ופראים,The Savage Innocents,"Adventure, Crime, Drama",1960,"Italy, France, United Kingdom",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807b5b70,https://www.imdb.com/title/tt0053244,תיק מסמכים,31/10/1960,31/12/1967," בקשת ""סאבי נ. מלאך"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""תמימים ופראים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cjqs," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
ג'יג'י,Gigi,"Comedy, Musical, Romance",1958,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807cb7a5,https://www.imdb.com/title/tt0051658,תיק מסמכים,09/07/1958,27/07/1958," בקשת ""מטרו-גולדוין-מאיר"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""ג'יג'י"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cs8s," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מרי פופינס,Mary Poppins,"Comedy, Family, Fantasy, Musical",1964,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068080d1a6,https://www.imdb.com/title/tt0058331,תיק מסמכים,18/07/1965,10/10/1965," בקשת ""פורום פילם בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מרי פופינס"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000di2x," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
פוליאנה,Pollyanna,"Comedy, Drama, Family",1960,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807cb9d3,https://www.imdb.com/title/tt0054195,תיק מסמכים,15/11/1960,16/12/1960," בקשת ""פורום פילם בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""פוליאנה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000csao," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
עמק הבובות,Valley of the Dolls,"Drama, Music, Romance",1967,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807b128b,https://www.imdb.com/title/tt0062430,תיק מסמכים,01/12/1967,03/01/1968," בקשת ""טוונטיס סנטורי פוקס"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""עמק הבובות"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ci36," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הכומתות הירוקות,The Green Berets,"Drama, War",1968,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807a44ba,https://www.imdb.com/title/tt0063035,תיק מסמכים,09/07/1968,10/06/1969," בקשת ""וורנר ברוס- סבן ארטס"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הכומתות הירוקות"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cczs," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
תעתועי שחור הזקן,Blackbeard's Ghost,"Comedy, Family, Fantasy",1968,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807973e5,https://www.imdb.com/title/tt0062737,תיק מסמכים,26/08/1968,10/09/1968," בקשת ""פורום פילם"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""תעתועי שחור הזקן"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000c7u7," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
המסך הקרוע,Torn Curtain,"Drama, Romance, Thriller",1966,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807f16d8,https://www.imdb.com/title/tt0061107,תיק מסמכים,13/10/1966,07/11/1966," בקשת דוד מלאך מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""המסך הקרוע"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d77j," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מבצע חץ מקשת,Operation Crossbow,"Action, Drama, War",1965,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680807076,https://www.imdb.com/title/tt0059549,תיק מסמכים,29/06/1965,13/07/1965," בקשת ""יצפילם בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מבצע חץ מקשת"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dfn1," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
